Product Id,Category Id,Category Name,Product Title
114628582,2,Desktop,PC HP Pavillion 251VGA-i5(4460) with LED-20 
640569762,2,Desktop,Unik SanDisk Flashdisk 64GB Ultra USB 3 3 0 Flasdisk   SDCZ48 064G U46 iuy
757005547,2,Desktop,Paket Spek PC Agan Bagas 2
758393462,2,Desktop,PAket Spek PC Agan JP Wogo
757008997,2,Desktop,PC HP All In One AIO 20 C303D
758392092,2,Desktop,MINI PC INTEL NUC6I7KYK KIT BAREBONE
757003157,2,Desktop,Mini PC Intel NUC5 I3RYH 4S120 I3 2 1Ghz 4GB SSD 120GB
758395597,2,Desktop,PC Rakitan Request By Agan Asep Purkon
758391417,2,Desktop,Mini PC Fujitech MPX 3750
474034481,2,Desktop,PC M800Z AIO 10EW-A00EIA. CORE I3-6100. RAM 4. HDD 1TB
759561794,2,Desktop,Komputer Desktop Rakitan prosesor AMD Athlon II X2 250 monitor 15 6
759569394,2,Desktop,RAKITAN HOME Office High End I3 ASUS LED KEYBOARD MOUSE
761919579,2,Desktop,HP mt3000 core2duo ddr3
759566524,2,Desktop,PC ALL IN One DELL AIO 3264 Core i3 7100 Windows 10 Original
759557564,2,Desktop,CPU bekas Corei5
759560789,2,Desktop,Intel NUC BOX 5i7RYH Barebone Only
759564589,2,Desktop,obral Pc mini Hp pro8000 slim adaptor core 2duo 3 0ghz 2gb 160gb dvd
759563779,2,Desktop,New CPU Core i3 Sandybridge feat ASUS H61 Harga 2nd
763328144,2,Desktop,VITRO KRAKEN Ryzen B350 6 Cores 12 Threads 16GB GTX 1060  Extreme 3D Render Monster PCVI1215445
757005567,2,Desktop,Paket PC Abdul
513812601,2,Desktop,Komputer Gamming - High Quality Spec
756996177,2,Desktop,Asus VC65 6100WD Vivo Mini PC Intel Core i3 6100T
759557144,2,Desktop,Cpu Acer Veriton s680G i5 650 3 2 Ghz Desktop Mini Pc
454843655,2,Desktop,DEEPCOOL XFAN 8CM RED LED (FAN CASE)
454668737,2,Desktop,GAMEMAX Windforce GMX-WF12 - 4 LED - 12CM - White/Red/Green/Blue LED
704103867,2,Desktop,VITRO RYZEN R3 BUDGET MONSTER REAL QUAD CORE SETARA I5 RX560 DDR5 8GB DDR4 Ram Free Ongkir Sejawa
758391777,2,Desktop,MINI PC INTEL NUC5I5RYH KIT BAREBONE
651323312,2,Desktop,SAMSUNG SSD 850 PRO 256GB   850PRO 256 GB iuy
759563809,2,Desktop,New CPU Intel Core i3 seharga seken Garansi FULL 1th
484260426,2,Desktop,Jual Cepet PC All In One Ram 4 Amd HD 6250
507788386,2,Desktop,ASUS K31am-j1800     
8000839,2,Desktop,NEO PC FUJITECH FMA6 GAMING
757004497,2,Desktop,OBRALL Cpu Acer X6601 g 1155 Sandy Bridge Desktop Mini pc
757001647,2,Desktop,Komputer request agan zainal tjahjadi
758396922,2,Desktop,SALE PC INTEL CORE i3 READY FOR UNBK 2017
743753157,2,Desktop,PREMIUM Waterproof Carry Shoulder Bag Case Shell Tas DJI Mavic Pro Drone AIF612
744688137,2,Desktop,motabe APU ryzen gaming pc value III
759566374,2,Desktop,Pc acer veriton X4620G core i3 Ivy bridge 4gb 250gb USB3 WINS 7 PRO
573796027,2,Desktop,Apple Imac 21.5 inch core2duo ram 4gb hdd 500gb VGA NVIDIA second murah
742754942,2,Desktop,Komputer lengkap murah
456518260,2,Desktop,EXTERNAL DVD RW (OPTICAL DRIVE)
364035191,2,Desktop,"SPYRO BLACK HOLE  ((TESLA))  i7 6950X, RAMPAGE V, QUAD SLI K40 TESLA, 256GB QUAD CHANNEL DDR4, 480 GB HELLFIRE + 16TB SAMSUNG SSD (4X4TB SAMSUNG SSD RAID)"
757004227,2,Desktop,Obral Paket Computer Acer Corei5 Vga 512 128bit Lcd 19 Murahh
476588176,2,Desktop,pc tower dell optiplex 360
606593582,2,Desktop,VITRO RYZEN R3 BUDGET MONSTER REAL QUAD CORE SETARA I5 KABYLAKE GTX 1050Ti DDR5 8GB DDR4 Ram
142218887,2,Desktop,PC gaming High End AMD A8-7600 + GTX 750 Ti 2GB DDR5
703065137,2,Desktop,PAKET PC CPU RAKITAN GAMING INTEL CORE I3 R7 250 2GB D5 NEW
661396117,2,Desktop,Lenovo PC Legion Y520T Core i7 7700 8GB 2TB GTX 1050Ti Win 10 0LiD
427775918,2,Desktop,Pc gaming AMD Vishera FX-6300 3.5Ghz Cache 6MB 95W AM3 6 Core
